# Train        Test        
    0.045455     0.136364 
    0.181818     0.090909 
    0.318182     0.227273 
    0.181818     0.090909 
    0.181818     0.136364 
    0.363636     0.272727 
    0.272727     0.227273 
    0.363636     0.090909 
    0.545455     0.363636 
    0.545455     0.454545 
    0.681818     0.409091 
    0.681818     0.545455 
    0.772727     0.500000 
    0.863636     0.681818 
    0.818182     0.636364 
    0.863636     0.681818 
    0.909091     0.727273 
    0.909091     0.681818 
    0.909091     0.818182 
    0.909091     0.863636 
    0.954545     0.863636 
    0.954545     0.772727 
    0.954545     0.636364 
    0.954545     0.772727 
    0.954545     0.772727 
    0.954545     0.818182 
    0.954545     0.681818 
    0.954545     0.818182 
    0.954545     0.818182 
    1.000000     0.727273 
    0.954545     0.727273 
    0.954545     0.863636 
    0.954545     0.818182 
    0.954545     0.818182 
    0.954545     0.818182 
    0.954545     0.863636 
    0.954545     0.727273 
    0.954545     0.772727 
    1.000000     0.863636 
    0.954545     0.818182 
    1.000000     0.772727 
    0.954545     0.818182 
    0.954545     0.818182 
    1.000000     0.772727 
    1.000000     0.818182 
    1.000000     0.818182 
    1.000000     0.863636 
    1.000000     0.863636 
    0.954545     0.818182 
    1.000000     0.818182 
