# Train        Test        
    0.594712     9.386702 
    0.876135     0.843923 
    0.525241     1.291863 
    0.433375     3.152933 
    0.398947     2.411105 
    0.346110     1.763848 
    0.315285     2.363528 
    0.280947     2.207461 
    0.251238     2.540171 
    0.229956     2.349351 
    0.212594     2.319235 
    0.176142     2.087143 
    0.167898     2.425702 
    0.157320     2.460170 
    0.137707     1.774844 
    0.119955     2.499995 
    0.113183     1.902423 
    0.099470     2.056879 
    0.087689     2.495988 
    0.079461     1.490851 
    0.068290     2.831971 
    0.059473     1.648898 
    0.054257     2.460011 
    0.048122     1.798703 
    0.042300     1.973426 
    0.039888     2.131907 
    0.037139     1.822608 
    0.031472     2.336310 
    0.029021     1.736650 
    0.025153     2.192587 
    0.023511     2.084219 
    0.025012     2.184269 
    0.022445     2.052420 
    0.020846     2.223026 
    0.019697     1.949775 
    0.021416     2.310126 
    0.022138     1.735632 
    0.017999     2.246305 
    0.019085     1.850456 
    0.019286     2.368120 
    0.019617     1.874241 
    0.021734     2.304533 
    0.021039     1.834267 
    0.017305     2.065737 
    0.017793     1.747826 
    0.016348     2.045146 
    0.016987     1.842873 
    0.017593     2.034869 
    0.018972     1.995875 
    0.018052     2.073497 
